STORMNAME,DTG,YEAR,MONTH,DAY,LAT,LON,,
INVEST,2024080212,2024,08,2,20,-76,,
FOUR,2024080218,2024,08,2,21,-78,,
FOUR,2024080300,2024,08,3,21,-79,,
FOUR,2024080306,2024,08,3,22,-80,,
FOUR,2024080312,2024,08,3,22,-82,,
FOUR,2024080318,2024,08,3,23,-83,,
DEBBY,2024080400,2024,08,4,24,-83,,
DEBBY,2024080406,2024,08,4,25,-84,,
DEBBY,2024080412,2024,08,4,26,-84,,
DEBBY,2024080418,2024,08,4,27,-84,,
DEBBY,2024080500,2024,08,5,28,-84,,
DEBBY,2024080506,2024,08,5,29,-84,,
DEBBY,2024080511,2024,08,5,30,-84,,
DEBBY,2024080512,2024,08,5,30,-83,,
DEBBY,2024080518,2024,08,5,30,-83,,
DEBBY,2024080600,2024,08,6,31,-82,,
DEBBY,2024080606,2024,08,6,31,-82,,
DEBBY,2024080612,2024,08,6,32,-81,,
DEBBY,2024080618,2024,08,6,32,-81,,
DEBBY,2024080700,2024,08,7,32,-80,,
DEBBY,2024080706,2024,08,7,32,-80,,
DEBBY,2024080712,2024,08,7,32,-79,,
DEBBY,2024080718,2024,08,7,32,-79,,
DEBBY,2024080800,2024,08,8,33,-79,,
DEBBY,2024080806,2024,08,8,33,-80,,
DEBBY,2024080812,2024,08,8,34,-80,,
DEBBY,2024080818,2024,08,8,35,-80,,
DEBBY,2024080900,2024,08,9,36,-80,,
DEBBY,2024080906,2024,08,9,37,-80,,
DEBBY,2024080906,2024,08,9,39.121195,-79.48855,West Virginia,
DEBBY,2024080909,2024,08,9,39.543977,-77.6952,Maryland,
DEBBY,2024080910,2024,08,9,39.984437,-74.494756,New Jersey,
DEBBY,2024080912,2024,08,9,41.445326,-74.3514,new york,
DEBBY,2024080912,2024,08,0,41,-77.88,Pennslvania,
DEBBY,2024080912,2024,08,9,41.405,-80.8605,Ohio,
DEBBY,2024080918,2024,08,9,43,-76,New york,
DEBBY,2024080900,2024,08,9,44.46,-73.9916,New York,
DEBBY,2024081000,2024,08,10,45,-73,,
DEBBY,2024081006,2024,08,10,48,-69,,
DEBBY,2024081012,2024,08,10,49,-65,,
DEBBY,2024081018,2024,08,10,50,-60,,