STORMNAME,DTG,YEAR,MONTH,DAY,LAT,LON,,,
SIX,2024090818,2024,09,8,21,-94,null,,
SIX,2024090900,2024,09,9,22,-95,null,,
SIX,2024090906,2024,09,9,23,-95,null,,
FRANCINE,2024090912,2024,09,9,23,-96,null,rancine: {,
FRANCINE,2024090918,2024,09,9,24,-96,null,"Florida: 2000000,",
FRANCINE,2024091000,2024,09,10,24,-96,null,"Georgia: 600000000,",500
FRANCINE,2024091006,2024,09,10,24,-96,null,"Texas: 500000000,",
FRANCINE,2024091012,2024,09,10,24,-96,null,"Alabama: 100000000000,",
FRANCINE,2024091018,2024,09,10,25,-95,null,"Mississippi: 290000000,",
FRANCINE,2024091100,2024,09,11,26,-95,null,Louisiana: 90000000000,
FRANCINE,2024091106,2024,09,11,27,-94,null,,
FRANCINE,2024091112,2024,09,11,28,-93,null,,
FRANCINE,2024091118,2024,09,11,29,-92,null,,
FRANCINE,2024091122,2024,09,11,29,-91,null,,
FRANCINE,2024091200,2024,09,12,30,-91,Louisiana,,
FRANCINE,2024091206,2024,09,12,30,-90,Mississipi,,
FRANCINE,2024091209,2024,09,12,30.86,-87.5,Florida,,
FRANCINE,2024091209,2024,09,12,32.09,-84.8,Georgia,,
FRANCINE,2024091209,2024,09,12,32.6,-87.3,Alabama,,
FRANCINE,2024091218,2024,09,12,33,-90,Mississipi,,
FRANCINE,2024091300,2024,09,13,35,-90,Mississipi,,
FRANCINE,2024091306,2024,09,13,35,-91,Arkansas,,
FRANCINE,2024091312,2024,09,13,36,-92,Arkansas,,
FRANCINE,2024091318,2024,09,13,36,-92,Arkansas,,
FRANCINE,2024091400,2024,09,14,35,-92,Arkansas,,
FRANCINE,2024091400,2024,09,14,33.09,-94.55,Texas,,