STORMNAME,DTG,YEAR,MONTH,DAY,LAT,LON,
FOURTEEN,2024100512,2024,10,5,22,-96,
MILTON,2024100518,2024,10,5,22,-96,
MILTON,2024100600,2024,10,6,23,-96,
MILTON,2024100606,2024,10,6,23,-95,
MILTON,2024100612,2024,10,6,22,-95,
MILTON,2024100618,2024,10,6,22,-94,
MILTON,2024100700,2024,10,7,22,-93,
MILTON,2024100706,2024,10,7,22,-93,
MILTON,2024100712,2024,10,7,22,-92,
MILTON,2024100718,2024,10,7,22,-91,
MILTON,2024100800,2024,10,8,22,-90,
MILTON,2024100806,2024,10,8,22,-90,
MILTON,2024100812,2024,10,8,22,-89,
MILTON,2024100818,2024,10,8,22,-88,
MILTON,2024100900,2024,10,9,23,-87,
MILTON,2024100906,2024,10,9,24,-86,
MILTON,2024100912,2024,10,9,25,-85,
MILTON,2024100918,2024,10,9,26,-84,
MILTON,2024101000,2024,10,10,27,-83,
MILTON,2024101006,2024,10,10,28,-81,
MILTON,2024101012,2024,10,10,29,-80,
MILTON,2024101018,2024,10,10,31,-82,Georgia
MILTON,2024101018,2024,10,10,33,-80,South Carolina