objectid,Nativity,ObsDate,Location,Latitude,Longitude,Datum,Quantity
8319786,Introduced,11/28/16,"""Alachua, Florida, United States""",29.62684,-82.2763,WGS84,1
8304391,Introduced,12/16/19,"""Duval, Florida, United States""",30.13641,-81.60608,WGS84,1
5156005,Introduced,5/22/17,"""Seminole, Florida, United States""",28.80173,-81.35542,WGS84,1
5156009,Introduced,5/22/17,"""Alachua, Florida, United States""",29.67238,-82.23729,WGS84,1
5156098,Introduced,7/10/17,"""Marion, Florida, United States""",29.03727,-81.91374,WGS84,1
5156099,Introduced,6/12/17,"""Marion, Florida, United States""",29.20104,-82.05381,WGS84,1
5156100,Introduced,7/20/17,"""Marion, Florida, United States""",29.20104,-82.05381,WGS84,1
5156101,Introduced,5/18/17,"""Marion, Florida, United States""",29.21133,-82.035,WGS84,1
5156102,Introduced,5/16/17,"""Marion, Florida, United States""",29.21638,-81.99912,WGS84,1
5156103,Introduced,6/15/17,"""Marion, Florida, United States""",29.21644,-82.05695,WGS84,1
5156104,Introduced,5/24/17,"""Marion, Florida, United States""",29.21644,-82.05695,WGS84,1
5156105,Introduced,5/26/17,"""Marion, Florida, United States""",29.21644,-82.05695,WGS84,1
5156106,Introduced,7/17/17,"""Marion, Florida, United States""",29.218,-82.05032,WGS84,1
5156107,Introduced,6/30/17,"""Marion, Florida, United States""",29.218,-82.05032,WGS84,1
5156108,Introduced,5/12/17,"""Marion, Florida, United States""",29.21803,-82.05614,WGS84,1
5156109,Introduced,6/16/17,"""Marion, Florida, United States""",29.22013,-82.04465,WGS84,1
5156110,Introduced,6/16/17,"""Marion, Florida, United States""",29.22013,-82.04465,WGS84,1
5156111,Introduced,7/19/17,"""Marion, Florida, United States""",29.22013,-82.04465,WGS84,1
5156112,Introduced,7/7/17,"""Marion, Florida, United States""",29.24752,-82.21288,WGS84,1
5156113,Introduced,7/12/17,"""Marion, Florida, United States""",29.25277,-82.1642,WGS84,1
5156390,Introduced,7/10/17,"""Orange, Florida, United States""",28.65225,-81.47392,WGS84,1
5156391,Introduced,6/19/17,"""Orange, Florida, United States""",28.65225,-81.47392,WGS84,1
5156392,Introduced,6/8/17,"""Orange, Florida, United States""",28.65232,-81.47546,WGS84,1
5156393,Introduced,5/26/17,"""Orange, Florida, United States""",28.65241,-81.47563,WGS84,1
5156394,Introduced,5/30/17,"""Orange, Florida, United States""",28.65243,-81.47696,WGS84,1
5156395,Introduced,6/5/17,"""Orange, Florida, United States""",28.65259,-81.47322,WGS84,1
5156396,Introduced,4/30/17,"""Orange, Florida, United States""",28.66245,-81.51114,WGS84,1
5156397,Introduced,4/28/17,"""Orange, Florida, United States""",28.667,-81.51101,WGS84,1
5156398,Introduced,4/27/17,"""Orange, Florida, United States""",28.667,-81.51101,WGS84,1
5156399,Introduced,4/27/17,"""Orange, Florida, United States""",28.66717,-81.51189,WGS84,1
5156400,Introduced,4/27/17,"""Orange, Florida, United States""",28.66717,-81.51189,WGS84,1
5156401,Introduced,4/26/17,"""Orange, Florida, United States""",28.66717,-81.51189,WGS84,1
5156402,Introduced,4/26/17,"""Orange, Florida, United States""",28.66717,-81.51189,WGS84,1
11906981,Introduced,12/19/23,"""Sumter, Florida, United States""",28.58906,-82.22094,WGS84,1
8797699,Introduced,3/22/21,"""Marion, Florida, United States""",29.31748,-81.90052,WGS84,1
5156405,Introduced,6/5/17,"""Orange, Florida, United States""",28.69341,-81.53221,WGS84,1
5156433,Introduced,5/23/17,"""Citrus, Florida, United States""",28.97799,-82.55999,WGS84,1
5156434,Introduced,5/25/17,"""Citrus, Florida, United States""",28.97799,-82.55999,WGS84,1
5156435,Introduced,6/12/17,"""Sumter, Florida, United States""",28.74499,-82.06342,WGS84,1
5156519,Introduced,5/1/17,"""Lake, Florida, United States""",28.85957,-81.88816,WGS84,1
5156520,Introduced,5/4/17,"""Lake, Florida, United States""",28.85999,-81.88939,WGS84,1
5156521,Introduced,6/8/17,"""Lake, Florida, United States""",28.86138,-81.90647,WGS84,1
5156522,Introduced,3/30/17,"""Lake, Florida, United States""",28.87059,-81.88351,WGS84,1
5156523,Introduced,5/26/17,"""Lake, Florida, United States""",28.91256,-81.92094,WGS84,1
5236604,Introduced,9/18/17,"""Seminole, Florida, United States""",28.64035,-81.44538,WGS84,1
5236605,Introduced,9/18/17,"""Seminole, Florida, United States""",28.64035,-81.44563,WGS84,1
5236606,Introduced,10/10/17,"""Seminole, Florida, United States""",28.64035,-81.44563,WGS84,1
5236607,Introduced,9/15/17,"""Seminole, Florida, United States""",28.6404,-81.44554,WGS84,1
5236608,Introduced,9/21/17,"""Seminole, Florida, United States""",28.6404,-81.44554,WGS84,1
5236609,Introduced,9/25/17,"""Seminole, Florida, United States""",28.6404,-81.44554,WGS84,1
5236610,Introduced,9/18/17,"""Seminole, Florida, United States""",28.6404,-81.44554,WGS84,1
5236611,Introduced,9/22/17,"""Seminole, Florida, United States""",28.6404,-81.44554,WGS84,1
5236612,Introduced,10/25/17,"""Seminole, Florida, United States""",28.6404,-81.44554,WGS84,1
5236625,Introduced,10/31/17,"""Seminole, Florida, United States""",28.7951,-81.37857,WGS84,1
5236626,Introduced,10/30/17,"""Seminole, Florida, United States""",28.80005,-81.41225,WGS84,1
5236627,Introduced,11/14/17,"""Seminole, Florida, United States""",28.81543,-81.34055,WGS84,1
5236762,Introduced,7/29/17,"""Marion, Florida, United States""",29.21639,-81.99939,WGS84,1
5236763,Introduced,10/3/17,"""Marion, Florida, United States""",29.28518,-81.64934,WGS84,1
5236764,Introduced,8/14/17,"""Marion, Florida, United States""",29.29557,-82.14413,WGS84,1
5236765,Introduced,8/10/17,"""Marion, Florida, United States""",29.31033,-82.16505,WGS84,1
5237129,Introduced,8/2/17,"""Orange, Florida, United States""",28.65225,-81.47392,WGS84,1
5237130,Introduced,8/31/17,"""Orange, Florida, United States""",28.65401,-81.46874,WGS84,1
5237131,Introduced,8/31/17,"""Orange, Florida, United States""",28.65699,-81.4688,WGS84,1
5237248,Introduced,10/18/17,"""Lake, Florida, United States""",28.82385,-81.91801,WGS84,1
5237249,Introduced,12/11/17,"""Lake, Florida, United States""",28.85145,-81.55477,WGS84,1
7828913,Introduced,3/11/18,"""Marion, Florida, United States""",29.08101,-81.83787,WGS84,1
7828914,Introduced,2/13/18,"""Marion, Florida, United States""",29.18767,-81.98872,WGS84,1
7828915,Introduced,2/28/18,"""Marion, Florida, United States""",29.41507,-82.26637,WGS84,1
7842270,Introduced,5/21/18,"""Alachua, Florida, United States""",29.56423,-82.39148,WGS84,1
7842271,Introduced,5/22/18,"""Alachua, Florida, United States""",29.57988,-82.38902,WGS84,1
7844172,Introduced,7/6/18,"""Marion, Florida, United States""",29.21523,-81.99321,WGS84,1
7844779,Introduced,9/13/18,"""Volusia, Florida, United States""",28.92046,-81.34853,WGS84,1
7844780,Introduced,9/10/18,"""Volusia, Florida, United States""",28.92046,-81.34853,WGS84,1
7845596,Introduced,8/14/18,"""Citrus, Florida, United States""",28.97827,-82.3527,WGS84,1
7845721,Introduced,8/23/18,"""Lake, Florida, United States""",28.87618,-81.73563,WGS84,1
8242143,Introduced,11/6/18,"""Marion, Florida, United States""",29.29286,-81.65477,WGS84,1
8242144,Introduced,10/24/18,"""Marion, Florida, United States""",29.2982,-82.00018,WGS84,1
8243043,Introduced,2/4/19,"""Volusia, Florida, United States""",29.0546,-81.0503,WGS84,1
8243053,Introduced,1/17/19,"""Volusia, Florida, United States""",29.11071,-81.04057,WGS84,1
8248082,Introduced,10/30/18,"""Orange, Florida, United States""",28.7358,-81.60315,WGS84,1
8249141,Introduced,11/20/18,"""Lake, Florida, United States""",28.87234,-81.7888,WGS84,1
4494776,Introduced,8/11/15,"""Pinellas, Florida, United States""",27.88006,-82.83087,WGS84,1
4494985,Introduced,2/14/16,"""Pasco, Florida, United States""",28.20441,-82.52036,WGS84,1
4494986,Introduced,12/4/15,"""Pasco, Florida, United States""",28.3347,-82.60228,WGS84,1
4495249,Introduced,11/13/15,"""Marion, Florida, United States""",29.02419,-82.07166,WGS84,1
4495502,Introduced,12/15/15,"""Putnam, Florida, United States""",29.49151,-81.67559,WGS84,1
4495504,Introduced,2/20/16,"""Wakulla, Florida, United States""",30.1864,-84.30659,WGS84,1
4495544,Introduced,12/23/15,"""Sumter, Florida, United States""",28.94536,-81.96311,WGS84,1
4495599,Introduced,12/4/15,"""Franklin, Florida, United States""",29.89361,-84.5654,WGS84,1
4495600,Introduced,12/8/15,"""Franklin, Florida, United States""",29.90473,-84.422,WGS84,1
4495601,Introduced,12/17/15,"""Franklin, Florida, United States""",29.89754,-84.38483,WGS84,1
4495602,Introduced,12/19/15,"""Franklin, Florida, United States""",29.89496,-84.38183,WGS84,1
4495603,Introduced,12/21/15,"""Franklin, Florida, United States""",29.89885,-84.38787,WGS84,1
4495604,Introduced,12/25/15,"""Franklin, Florida, United States""",29.92178,-84.47728,WGS84,1
4495605,Introduced,12/25/15,"""Franklin, Florida, United States""",29.91599,-84.52279,WGS84,1
4495606,Introduced,12/29/15,"""Franklin, Florida, United States""",29.90289,-84.41204,WGS84,1
4495607,Introduced,12/29/15,"""Franklin, Florida, United States""",29.85867,-84.6748,WGS84,1
4495608,Introduced,12/30/15,"""Franklin, Florida, United States""",29.86204,-84.75103,WGS84,1
4495609,Introduced,12/31/15,"""Franklin, Florida, United States""",29.86199,-84.75061,WGS84,1
4495610,Introduced,1/2/16,"""Franklin, Florida, United States""",29.88354,-84.59574,WGS84,1
4495611,Introduced,1/4/16,"""Franklin, Florida, United States""",29.85867,-84.6748,WGS84,1
4495612,Introduced,1/4/16,"""Franklin, Florida, United States""",29.85851,-84.67283,WGS84,1
4495613,Introduced,1/26/16,"""Franklin, Florida, United States""",29.91748,-84.51051,WGS84,1
4495614,Introduced,2/8/16,"""Franklin, Florida, United States""",29.82798,-84.85365,WGS84,1
4495615,Introduced,2/16/16,"""Franklin, Florida, United States""",29.74167,-84.87477,WGS84,1
4495616,Introduced,2/16/16,"""Franklin, Florida, United States""",29.73643,-84.88774,WGS84,1
4495617,Introduced,2/17/16,"""Franklin, Florida, United States""",29.73002,-84.89759,WGS84,1
4495618,Introduced,2/18/16,"""Franklin, Florida, United States""",29.73465,-84.89925,WGS84,1
4495619,Introduced,2/21/16,"""Franklin, Florida, United States""",29.74459,-84.89542,WGS84,1
4495620,Introduced,2/26/16,"""Franklin, Florida, United States""",29.74167,-84.87477,WGS84,1
4863743,Introduced,10/13/16,"""Pinellas, Florida, United States""",28.02641,-82.77057,WGS84,1
4863744,Introduced,10/31/16,"""Pinellas, Florida, United States""",28.08332,-82.70099,WGS84,1
4863745,Introduced,11/3/16,"""Pinellas, Florida, United States""",28.03017,-82.71144,WGS84,1
4863746,Introduced,11/4/16,"""Pinellas, Florida, United States""",27.98572,-82.70907,WGS84,1
4863747,Introduced,11/14/16,"""Pinellas, Florida, United States""",27.73849,-82.6277,WGS84,1
4863748,Introduced,11/14/16,"""Pinellas, Florida, United States""",27.74673,-82.63037,WGS84,1
4864214,Introduced,10/27/16,"""Pasco, Florida, United States""",28.30025,-82.71025,WGS84,1
4864215,Introduced,10/26/16,"""Pasco, Florida, United States""",28.36026,-82.71212,WGS84,1
4864216,Introduced,10/27/16,"""Pasco, Florida, United States""",28.28383,-82.72002,WGS84,1
4864217,Introduced,10/28/16,"""Pasco, Florida, United States""",28.27921,-82.72918,WGS84,1
4864218,Introduced,10/29/16,"""Pasco, Florida, United States""",28.24399,-82.721,WGS84,1
4864497,Introduced,4/30/16,"""Marion, Florida, United States""",29.06093,-82.13622,WGS84,1
4864498,Introduced,5/10/16,"""Marion, Florida, United States""",29.04618,-82.07084,WGS84,1
4864499,Introduced,5/17/16,"""Marion, Florida, United States""",29.04618,-82.07084,WGS84,1
4864500,Introduced,5/2/16,"""Marion, Florida, United States""",29.06138,-82.14063,WGS84,1
4864501,Introduced,7/6/16,"""Marion, Florida, United States""",29.21909,-82.0453,WGS84,1
4864917,Introduced,11/1/16,"""Putnam, Florida, United States""",29.59769,-81.63839,WGS84,1
4864918,Introduced,3/20/16,"""Wakulla, Florida, United States""",30.06481,-84.4918,WGS84,1
4864919,Introduced,3/19/16,"""Wakulla, Florida, United States""",30.06453,-84.49176,WGS84,1
4864920,Introduced,3/25/16,"""Wakulla, Florida, United States""",30.06708,-84.4903,WGS84,1
4864921,Introduced,11/8/16,"""Wakulla, Florida, United States""",30.16695,-84.40973,WGS84,1
4864998,Introduced,6/2/16,"""Sumter, Florida, United States""",28.7644,-82.11607,WGS84,1
4865011,Introduced,10/24/16,"""Hernando, Florida, United States""",28.43493,-82.66691,WGS84,1
4865070,Introduced,5/12/16,"""Polk, Florida, United States""",27.66483,-81.51575,WGS84,1
4865126,Introduced,11/28/16,"""Lake, Florida, United States""",29.17062,-81.62591,WGS84,1
8576023,Introduced,2/2/20,"""St. Johns, Florida, United States""",30.04007,-81.49665,WGS84,1
8576025,Introduced,2/3/20,"""St. Johns, Florida, United States""",30.05853,-81.524,WGS84,1
2019685,Introduced,1/15/12,"""Seminole, Florida, United States""",28.81089,-81.25019,WGS84,1
2019705,Introduced,1/11/12,"""Seminole, Florida, United States""",28.73183,-81.39538,WGS84,1
2019717,Introduced,1/13/12,"""Seminole, Florida, United States""",28.80993,-81.26497,WGS84,1
2019718,Introduced,1/14/12,"""Seminole, Florida, United States""",28.80967,-81.25838,WGS84,1
2019719,Introduced,1/26/12,"""Marion, Florida, United States""",29.18446,-82.15133,WGS84,1
2022490,Introduced,9/28/11,"""Osceola, Florida, United States""",28.25792,-81.29022,WGS84,1
2022496,Introduced,2/7/12,"""Seminole, Florida, United States""",28.76607,-81.28892,WGS84,1
2024502,Introduced,11/20/11,"""Flagler, Florida, United States""",29.59434,-81.2157,WGS84,1
8368370,Introduced,9/4/19,"""St. Johns, Florida, United States""",29.80467,-81.54967,WGS84,1
8368371,Introduced,9/17/19,"""St. Johns, Florida, United States""",29.84533,-81.55782,WGS84,1
8368439,Introduced,4/26/19,"""Seminole, Florida, United States""",28.69767,-81.40324,WGS84,1
8368440,Introduced,6/1/19,"""Seminole, Florida, United States""",28.68308,-81.39248,WGS84,1
8371380,Introduced,11/4/19,"""St. Johns, Florida, United States""",30.07044,-81.52701,WGS84,1
8371381,Introduced,10/28/19,"""St. Johns, Florida, United States""",29.92494,-81.44281,WGS84,1
8371382,Introduced,10/11/19,"""St. Johns, Florida, United States""",29.80739,-81.38752,WGS84,1
8371431,Introduced,12/16/19,"""Duval, Florida, United States""",30.13744,-81.60635,WGS84,1
8371618,Introduced,11/10/19,"""Putnam, Florida, United States""",29.4795,-81.66777,WGS84,1
8371633,Introduced,10/8/19,"""Polk, Florida, United States""",27.66483,-81.51575,WGS84,1
8371805,Introduced,4/14/12,"""Marion, Florida, United States""",29.20967,-82.03467,WGS84,1
8820983,Introduced,5/14/20,"""Putnam, Florida, United States""",29.59791,-81.63827,WGS84,1
8821454,Introduced,7/2/20,"""Marion, Florida, United States""",29.218,-82.05032,WGS84,1
8821457,Introduced,8/20/20,"""Marion, Florida, United States""",29.04276,-81.92925,WGS84,1
8821459,Introduced,7/7/20,"""Marion, Florida, United States""",29.17088,-82.17579,WGS84,1
8821462,Introduced,11/13/20,"""Marion, Florida, United States""",29.21803,-82.05614,WGS84,1
8821464,Introduced,12/22/20,"""Marion, Florida, United States""",29.1327,-81.84653,WGS84,1
8821465,Introduced,8/21/20,"""Marion, Florida, United States""",29.12178,-81.88703,WGS84,1
8821466,Introduced,6/24/20,"""Marion, Florida, United States""",29.2257,-82.15677,WGS84,1
8821473,Introduced,7/6/20,"""Marion, Florida, United States""",29.33291,-81.762,WGS84,1
10416512,Introduced,1/9/21,"""Marion, Florida, United States""",29.21803,-82.05614,WGS84,1
10416630,Introduced,6/11/21,"""Marion, Florida, United States""",29.21803,-82.05614,WGS84,3
10416774,Introduced,5/13/21,"""Marion, Florida, United States""",29.12359,-81.83983,WGS84,4
10417195,Introduced,1/22/21,"""Marion, Florida, United States""",29.12815,-82.10545,WGS84,1
10419994,Introduced,7/26/21,"""Marion, Florida, United States""",28.96879,-82.03695,WGS84,1
11294608,Introduced,1/28/22,"""Marion, Florida, United States""",29.2311,-81.93634,WGS84,1
11296025,Introduced,6/20/22,"""Marion, Florida, United States""",29.22013,-82.04465,WGS84,40
11416288,Introduced,3/20/23,"""Seminole, Florida, United States""",28.83354,-81.35169,WGS84,1
11427314,Introduced,12/20/22,"""Hernando, Florida, United States""",28.56544,-82.37439,WGS84,1
11903439,Introduced,4/22/23,"""Lake, Florida, United States""",28.81491,-81.75552,WGS84,1
11903440,Introduced,5/3/23,"""Lake, Florida, United States""",28.80249,-81.64452,WGS84,1
11903455,Introduced,4/27/23,"""Levy, Florida, United States""",29.02418,-82.66431,WGS84,1
11903461,Introduced,6/12/23,"""Marion, Florida, United States""",29.18762,-81.98845,WGS84,20
11904989,Introduced,9/10/23,"""Lake, Florida, United States""",28.67223,-81.68082,WGS84,1
11904990,Introduced,9/26/23,"""Lake, Florida, United States""",28.93271,-81.86781,WGS84,1
11905047,Introduced,8/1/23,"""Marion, Florida, United States""",29.10065,-82.42815,WGS84,1
11905048,Introduced,8/25/23,"""Marion, Florida, United States""",29.1785,-81.86971,WGS84,1
11906045,Introduced,9/8/23,"""Putnam, Florida, United States""",29.4707,-81.69055,WGS84,1
11906059,Introduced,9/16/23,"""Seminole, Florida, United States""",28.81301,-81.33357,WGS84,1
11906060,Introduced,9/18/23,"""Seminole, Florida, United States""",28.81301,-81.33357,WGS84,1
12028673,Introduced,11/26/23,"""Lake, Florida, United States""",28.58486,-81.75646,WGS84,1
12028690,Introduced,10/2/23,"""Lake, Florida, United States""",28.59488,-81.70523,WGS84,2
12336944,Introduced,6/19/24,"""Alachua, Florida, United States""",29.45705,-82.11189,WGS84,2
12337260,Introduced,4/22/24,"""Lake, Florida, United States""",28.52855,-81.8713,WGS84,1
12337261,Introduced,9/29/23,"""Lake, Florida, United States""",28.57798,-81.66179,WGS84,1
12337262,Introduced,4/26/24,"""Lake, Florida, United States""",28.58054,-81.81208,WGS84,1
12337263,Introduced,4/29/24,"""Lake, Florida, United States""",28.54414,-81.77257,WGS84,1
12337264,Introduced,4/30/24,"""Lake, Florida, United States""",28.54543,-81.74789,WGS84,1
12337265,Introduced,5/3/24,"""Lake, Florida, United States""",28.54686,-81.72765,WGS84,1
12337311,Introduced,5/22/24,"""Marion, Florida, United States""",29.21893,-82.04655,WGS84,1
12339877,Introduced,8/3/24,"""Alachua, Florida, United States""",29.5485,-82.13806,WGS84,1
12341361,Introduced,8/3/24,"""Lake, Florida, United States""",28.7688,-81.68847,WGS84,1
12342912,Introduced,7/24/24,"""Seminole, Florida, United States""",28.81624,-81.32468,WGS84,1
1456367,Introduced,6/10/07,"""Lake, Florida, United States""",28.93725,-81.35918,WGS84,1
1818483,Introduced,9/3/11,"""Orange, Florida, United States""",28.71539,-81.44956,WGS84,1
3136825,Introduced,3/6/14,"""Gilchrist, Florida, United States""",29.57864,-82.71754,WGS84,1
4780150,Introduced,8/15/13,"""Pasco, Florida, United States""",28.32899,-82.58487,WGS84,1
4908404,Introduced,7/3/17,"""Sarasota, Florida, United States""",27.28226,-82.43023,WGS84,1
8699333,Introduced,3/5/17,"""Alachua, Florida, United States""",29.64919,-82.31026,WGS84,1
8699334,Introduced,4/13/18,"""Marion, Florida, United States""",29.21434,-82.0534,WGS84,1
8699335,Introduced,4/4/18,"""Marion, Florida, United States""",29.20221,-82.02024,WGS84,1
8699336,Introduced,2/12/18,"""Marion, Florida, United States""",29.20196,-82.01505,WGS84,1
8699337,Introduced,6/2/18,"""Marion, Florida, United States""",29.20776,-81.99589,WGS84,1
8699338,Introduced,5/28/18,"""Polk, Florida, United States""",27.66483,-81.51575,WGS84,1
8699339,Introduced,4/13/17,"""Marion, Florida, United States""",29.22474,-81.98164,WGS84,1
8699340,Introduced,4/13/19,"""Marion, Florida, United States""",29.21599,-82.04716,WGS84,1
8699341,Introduced,4/13/19,"""Marion, Florida, United States""",29.21601,-82.04722,WGS84,1
8699342,Introduced,12/30/18,"""Marion, Florida, United States""",29.21027,-82.03423,WGS84,1
8699343,Introduced,7/15/09,"""Marion, Florida, United States""",29.21584,-82.04685,WGS84,1
8699344,Introduced,7/11/19,"""Marion, Florida, United States""",29.21612,-82.04398,WGS84,1
8699345,Introduced,5/27/19,"""Marion, Florida, United States""",29.2153,-82.05276,WGS84,1
8699346,Introduced,10/27/19,"""Marion, Florida, United States""",29.20434,-82.02509,WGS84,1
8699347,Introduced,11/28/19,"""Marion, Florida, United States""",29.2043,-82.02487,WGS84,1
8699348,Introduced,1/2/20,"""Marion, Florida, United States""",29.2033,-82.02446,WGS84,1
8699349,Introduced,1/26/20,"""Marion, Florida, United States""",29.21478,-82.05698,WGS84,1
8699350,Introduced,2/16/20,"""Marion, Florida, United States""",29.21809,-82.05614,WGS84,1
8699351,Introduced,2/22/20,"""Marion, Florida, United States""",29.21809,-82.05614,WGS84,1
8699352,Introduced,2/17/20,"""Marion, Florida, United States""",29.2156,-82.04509,WGS84,1
8699353,Introduced,12/25/13,"""Marion, Florida, United States""",29.20434,-82.02509,WGS84,1
8699354,Introduced,12/31/17,"""Marion, Florida, United States""",29.20434,-82.02509,WGS84,1
8699355,Introduced,1/1/20,"""Marion, Florida, United States""",29.20434,-82.02509,WGS84,1
8699356,Introduced,5/27/19,"""Marion, Florida, United States""",29.21803,-82.05614,WGS84,1
8699357,Introduced,12/11/12,"""Marion, Florida, United States""",29.21554,-82.05422,WGS84,1
8699358,Introduced,7/24/20,"""Putnam, Florida, United States""",29.49321,-81.79274,WGS84,1
8699359,Introduced,3/15/59,"""Marion, Florida, United States""",29.21573,-82.04829,WGS84,1
8699365,Introduced,9/20/20,"""Marion, Florida, United States""",29.21395,-82.05259,WGS84,1
8766138,Introduced,10/10/20,"""Marion, Florida, United States""",29.21637,-82.04934,WGS84,1
8793934,Introduced,3/14/17,"""Marion, Florida, United States""",29.21509,-82.04932,WGS84,1
8793935,Introduced,4/7/13,"""Marion, Florida, United States""",29.20353,-82.02453,WGS84,1
8793939,Introduced,1/19/21,"""Marion, Florida, United States""",29.22825,-81.97887,WGS84,1
8793940,Introduced,1/24/21,"""Marion, Florida, United States""",29.21458,-82.04557,WGS84,1
8796066,Introduced,1/12/17,"""Marion, Florida, United States""",29.28974,-81.92696,WGS84,1
8796069,Introduced,3/8/14,"""Marion, Florida, United States""",29.21528,-82.04426,WGS84,1
8287580,Introduced,4/14/12,"""Marion, Florida, United States""",29.20967,-82.03467,,1
8287854,Introduced,2/11/17,"""Marion, Florida, United States""",29.20177,-82.01862,,1
8288122,Introduced,1/14/17,"""Marion, Florida, United States""",29.20641,-82.02027,,1
8288163,Introduced,3/27/17,"""Marion, Florida, United States""",29.2146,-82.05363,,1
8815622,Introduced,2/29/20,"""Marion, Florida, United States""",29.21562,-82.04628,WGS84,1
8815626,Introduced,3/3/21,"""Marion, Florida, United States""",29.21544,-82.05186,WGS84,1
8815627,Introduced,2/16/17,"""Marion, Florida, United States""",29.21646,-82.05698,WGS84,1
8815628,Introduced,2/16/17,"""Marion, Florida, United States""",29.21646,-82.05698,WGS84,1
8854035,Introduced,4/30/21,"""Marion, Florida, United States""",29.21453,-82.05322,WGS84,1
9616181,Introduced,6/18/21,"""Marion, Florida, United States""",29.21259,-82.04133,WGS84,1